,city_fixed,address_fixed,full_2,full_3
24119,Київ ДНЗ №312,"Київ пр-т Науки 42/1, корпус 2  ","м.Київ Голосіївський пр-т Науки  42/1, корпус 2  ","Голосіївський пр-т Науки  42/1, корпус 2  "
24120,Київ ДНЗ №328,Київ вул. Бурмістенко 5  ,м.Київ Голосіївський вул. Бурмістенко  5  ,Голосіївський вул. Бурмістенко  5  
24121,Київ ДНЗ №339,Київ вул. Володимирська 71 а  ,м.Київ Голосіївський вул. Володимирська  71 а  ,Голосіївський вул. Володимирська  71 а  
24122,Київ ДНЗ №340,"Київ вул. Васильківська 47, корп. А  ","м.Київ Голосіївський вул. Васильківська  47, корп. А  ","Голосіївський вул. Васильківська  47, корп. А  "
24123,Київ ДНЗ №341,Київ вул. Антоновича 150А  ,м.Київ Голосіївський вул. Антоновича  150А  ,Голосіївський вул. Антоновича  150А  
24124,Київ ДНЗ №371,Київ вул. Льва Толстого 39/41  ,м.Київ Голосіївський вул. Льва Толстого  39/41  ,Голосіївський вул. Льва Толстого  39/41  
24125,Київ ДНЗ №372,Київ вул. Академіка Заболотного 114-А   ,м.Київ Голосіївський вул. Академіка Заболотного 114-А    ,Голосіївський вул. Академіка Заболотного 114-А    
24126,Київ ДНЗ №389,Київ пр-т Науки 100  ,м.Київ Голосіївський пр-т Науки  100  ,Голосіївський пр-т Науки  100  
24127,Київ ДНЗ №402,Київ вул. Васильківська 39  ,м.Київ Голосіївський вул. Васильківська  39  ,Голосіївський вул. Васильківська  39  
24128,Київ ДНЗ №406,Київ вул. Володі Дубініна 13  ,м.Київ Голосіївський вул. Володі Дубініна  13  ,Голосіївський вул. Володі Дубініна  13  
24129,Київ ДНЗ №416,Київ вул. Маричанська 10 А  ,м.Київ Голосіївський вул. Маричанська  10 А  ,Голосіївський вул. Маричанська  10 А  
24130,Київ ДНЗ №439,Київ пр-т Голосіївський 124 А  ,м.Київ Голосіївський пр-т Голосіївський  124 А  ,Голосіївський пр-т Голосіївський  124 А  
24131,Київ ДНЗ №440,Київ пров. В. Жуковського 9  ,м.Київ Голосіївський пров. В. Жуковського  9  ,Голосіївський пров. В. Жуковського  9  
24132,Київ ДНЗ №506,Київ шоссе Стратегічне 54  ,м.Київ Голосіївський шоссе Стратегічне  54  ,Голосіївський шоссе Стратегічне  54  
24133,Київ ДНЗ №513,Київ пр-т Академіка Глушкова 20  ,м.Київ Голосіївський пр-т Академіка Глушкова  20  ,Голосіївський пр-т Академіка Глушкова  20  
24134,Київ ДНЗ №596,Київ вул. Новопирогівська 31  ,м.Київ Голосіївський вул. Новопирогівська  31  ,Голосіївський вул. Новопирогівська  31  
24135,Київ ДНЗ №640,Київ вул. Маршала Якубовського 1  ,м.Київ Голосіївський вул. Маршала Якубовського  1  ,Голосіївський вул. Маршала Якубовського  1  
24136,Київ ДНЗ №641,Київ вул. Якубовського 1а  ,м.Київ Голосіївський вул. Якубовського  1а  ,Голосіївський вул. Якубовського  1а  
24137,Київ ДНЗ №643,Київ вул. Голосіївська 4А  ,м.Київ Голосіївський вул. Голосіївська  4А  ,Голосіївський вул. Голосіївська  4А  
24138,Київ ДНЗ №658,Київ пр-т Голосіївський 94/96  ,м.Київ Голосіївський пр-т Голосіївський  94/96  ,Голосіївський пр-т Голосіївський  94/96  
